# t=0開傘 (Up to date)
# 1065 data points written for 8 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (21.4 m/s):  "Parachute"
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral velocity (m/s),Angle of attack (°)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
2.491,85.501,100.973,66.811,10.242,3.552e-4,16.779,1.809
2.504,86.819,101.804,66.959,10.462,3.663e-4,17.035,1.708
2.521,88.559,102.893,66.989,10.754,3.813e-4,17.368,1.571
2.542,90.734,104.24,67.023,11.123,4.003e-4,17.773,1.388
2.575,94.209,106.359,66.823,11.72,4.316e-4,18.397,1.137
2.598,96.672,107.837,66.856,12.148,4.545e-4,18.82,0.959
2.611,98.079,108.672,66.62,12.394,4.678e-4,19.055,0.837
2.631,100.266,109.958,66.77,12.779,4.889e-4,19.409,0.639
2.649,102.255,111.115,66.411,13.131,5.085e-4,19.72,0.458
2.667,104.266,112.272,66.428,13.489,5.288e-4,20.023,0.249
2.692,107.093,113.879,66.197,13.995,5.58e-4,20.429,0.04
2.72,110.306,115.679,66.093,14.573,5.923e-4,20.864,0.359
2.741,112.75,117.029,65.854,15.014,6.191e-4,21.177,0.586
2.758,114.749,118.121,65.74,15.376,6.415e-4,21.42,0.745
2.784,117.842,119.789,65.507,15.938,6.771e-4,21.779,0.944
2.804,120.25,121.067,65.013,16.376,7.054e-4,22.045,1.084
2.827,123.051,122.526,64.389,16.887,7.391e-4,22.337,1.257
2.84,124.65,123.343,63.628,17.178,7.587e-4,22.496,1.34
2.858,126.88,124.457,62.356,17.585,7.864e-4,22.707,1.432
2.873,128.754,125.373,61.852,17.927,8.1e-4,22.878,1.489
2.891,131.02,126.461,61.092,18.34,8.391e-4,23.077,1.535
2.914,133.945,127.832,60.077,18.874,8.772e-4,23.325,1.548
2.937,136.9,129.185,59.448,19.413,9.166e-4,23.569,1.515
2.96,139.887,130.517,58.301,19.958,9.571e-4,23.811,1.429
2.975,141.851,131.37,57.276,20.316,9.841e-4,23.968,1.343
2.998,144.821,132.627,56.459,20.858,0.001,24.207,1.188
3.003,145.551,132.931,56.26,20.992,0.001,24.266,1.143
3.011,146.65,133.385,55.801,21.192,0.001,24.355,1.071
3.026,148.623,134.186,54.98,21.553,0.001,24.516,0.933
3.044,151.047,135.148,54.216,21.996,0.001,24.717,0.753
3.057,152.809,135.83,53.185,22.318,0.001,24.865,0.63
3.072,154.852,136.601,52.155,22.692,0.001,25.038,0.494
3.087,156.907,137.354,50.993,23.069,0.001,25.213,0.355
3.103,159.111,138.139,49.962,23.474,0.001,25.402,0.209
3.113,160.494,138.617,48.531,23.729,0.001,25.522,0.132
3.128,162.579,139.318,47.888,24.113,0.001,25.701,0.017
